X,Y,Z
0.307921,-0.000484,0.475323
0.307396,-0.000390,0.473903
0.306579,-0.000139,0.472938
0.305780,0.000284,0.472450
0.305169,0.000854,0.472454
0.304867,0.001552,0.472944
0.304940,0.002357,0.473909
0.305429,0.003250,0.475330
0.306353,0.004212,0.477185
0.307720,0.005227,0.479448
0.309526,0.006283,0.482094
0.311763,0.007367,0.485096
0.314419,0.008468,0.488429
0.317478,0.009579,0.492067
0.320922,0.010690,0.495983
0.324733,0.011794,0.500153
0.328891,0.012878,0.504553
0.333382,0.013908,0.509154
0.338190,0.014879,0.513930
0.343294,0.015803,0.518854
0.348665,0.016746,0.523906
0.354534,0.017840,0.529003
0.360709,0.018939,0.534132
0.367065,0.019977,0.539281
0.373307,0.020766,0.544476
0.379512,0.021516,0.549717
0.385718,0.022238,0.554998
0.391959,0.022914,0.560304
0.398248,0.023536,0.565622
0.404588,0.024083,0.570936
0.410972,0.024561,0.576228
0.417391,0.025012,0.581482
0.423824,0.025493,0.586680
0.430236,0.026099,0.591817
0.436769,0.026743,0.596847
0.443172,0.027625,0.601781
0.449583,0.028485,0.606580
0.455818,0.029511,0.611243
0.461894,0.030612,0.615781
0.467921,0.031561,0.620162
0.473872,0.032593,0.624369
0.479616,0.033799,0.628391
0.485164,0.035079,0.632236
0.490552,0.036361,0.635906
0.495757,0.037579,0.639396
0.500798,0.038714,0.642708
0.505671,0.039762,0.645839
0.510384,0.040737,0.648790
0.514931,0.041651,0.651559
0.519314,0.042519,0.654145
0.523536,0.043350,0.656550
0.527584,0.044145,0.658770
0.531472,0.044908,0.660805
0.535190,0.045645,0.662654
0.538721,0.046360,0.664314
0.542085,0.047061,0.665793
0.545278,0.047746,0.667092
0.548286,0.048407,0.668212
0.551126,0.049048,0.669161
0.553808,0.049668,0.669947
0.556335,0.050267,0.670573
0.558711,0.050843,0.671044
0.560937,0.051398,0.671365
0.563015,0.051929,0.671539
0.564947,0.052439,0.671571
0.566736,0.052928,0.671468
0.568385,0.053395,0.671235
0.569897,0.053843,0.670879
0.571276,0.054272,0.670407
0.572526,0.054682,0.669827
0.573653,0.055076,0.669146
0.574660,0.055453,0.668372
0.575554,0.055814,0.667514
0.576338,0.056161,0.666578
0.577019,0.056494,0.665574
0.577602,0.056814,0.664508
0.578092,0.057122,0.663390
0.578495,0.057418,0.662226
0.578816,0.057702,0.661024
0.579061,0.057975,0.659791
0.579234,0.058238,0.658534
0.579341,0.058492,0.657260
0.579386,0.058735,0.655976
0.579376,0.058970,0.654687
0.579314,0.059195,0.653399
0.579206,0.059412,0.652118
0.579055,0.059621,0.650849
0.578866,0.059822,0.649596
0.578643,0.060015,0.648365
0.578390,0.060200,0.647159
0.578111,0.060378,0.645982
0.577809,0.060549,0.644838
0.577488,0.060713,0.643730
0.577151,0.060870,0.642660
0.576800,0.061020,0.641632
0.576439,0.061164,0.640648
0.576070,0.061301,0.639708
0.575696,0.061432,0.638817
0.575317,0.061557,0.637973
0.574938,0.061675,0.637180
0.574558,0.061788,0.636438
0.574181,0.061894,0.635748
0.573806,0.061995,0.635110
0.573436,0.062089,0.634525
0.573071,0.062178,0.633992
0.572713,0.062261,0.633513
0.572364,0.062340,0.633087
0.572026,0.062413,0.632712
0.571699,0.062481,0.632388
0.571380,0.062544,0.632113
0.571070,0.062601,0.631885
0.570767,0.062651,0.631702
0.570469,0.062696,0.631563
0.570176,0.062734,0.631466
0.569886,0.062764,0.631410
0.569596,0.062786,0.631394
0.569308,0.062802,0.631419
0.569022,0.062812,0.631483
0.568736,0.062817,0.631586
0.568452,0.062816,0.631728
0.568169,0.062810,0.631908
0.567887,0.062798,0.632125
0.567605,0.062780,0.632379
0.567324,0.062756,0.632670
0.567043,0.062726,0.632998
0.566762,0.062690,0.633361
0.566480,0.062648,0.633760
0.566199,0.062601,0.634195
0.565917,0.062547,0.634666
0.565635,0.062487,0.635172
0.565354,0.062422,0.635714
0.565074,0.062352,0.636293
0.564797,0.062277,0.636907
0.564526,0.062198,0.637557
0.564258,0.062114,0.638242
0.563995,0.062026,0.638960
0.563736,0.061933,0.639710
0.563479,0.061836,0.640490
0.563224,0.061734,0.641300
0.562970,0.061627,0.642137
0.562717,0.061515,0.643002
0.562463,0.061398,0.643891
0.562207,0.061277,0.644805
0.561950,0.061150,0.645742
0.561689,0.061019,0.646700
0.561425,0.060883,0.647680
0.561157,0.060743,0.648679
0.560885,0.060598,0.649698
0.560607,0.060448,0.650734
0.560324,0.060294,0.651788
0.560035,0.060135,0.652858
0.559740,0.059972,0.653943
0.559439,0.059805,0.655044
0.559131,0.059633,0.656159
0.558816,0.059458,0.657288
0.558494,0.059278,0.658430
0.558164,0.059095,0.659584
0.557828,0.058908,0.660751
0.557484,0.058718,0.661929
0.557134,0.058524,0.663118
0.556776,0.058326,0.664318
0.556411,0.058125,0.665528
0.556038,0.057922,0.666748
0.555659,0.057715,0.667977
0.555273,0.057505,0.669216
0.554881,0.057293,0.670463
0.554482,0.057078,0.671719
0.554076,0.056860,0.672983
0.553665,0.056640,0.674255
0.553247,0.056418,0.675534
0.552824,0.056194,0.676821
0.552395,0.055967,0.678114
0.551961,0.055739,0.679415
0.551522,0.055509,0.680721
0.551078,0.055277,0.682034
0.550629,0.055044,0.683352
0.550176,0.054809,0.684676
0.549719,0.054573,0.686005
0.549258,0.054336,0.687338
0.548793,0.054098,0.688677
0.548325,0.053859,0.690019
0.547853,0.053618,0.691366
0.547379,0.053377,0.692716
0.546902,0.053136,0.694070
0.546422,0.052894,0.695426
0.545939,0.052651,0.696785
0.545455,0.052408,0.698147
0.544968,0.052165,0.699510
0.544480,0.051921,0.700875
0.543990,0.051678,0.702242
0.543499,0.051434,0.703609
0.543006,0.051191,0.704977
0.542513,0.050948,0.706345
0.542019,0.050705,0.707713
0.541524,0.050463,0.709081
0.541028,0.050221,0.710447
0.540532,0.049980,0.711812
0.540037,0.049739,0.713176
0.539541,0.049499,0.714538
0.539045,0.049260,0.715897
0.538550,0.049022,0.717254
0.538055,0.048785,0.718607
0.537561,0.048549,0.719957
0.537068,0.048314,0.721303
0.536576,0.048081,0.722644
0.536085,0.047849,0.723981
0.535595,0.047618,0.725313
0.535107,0.047388,0.726639
0.534620,0.047161,0.727960
0.534135,0.046934,0.729274
0.533652,0.046710,0.730582
0.533171,0.046487,0.731883
0.532692,0.046267,0.733176
0.532216,0.046048,0.734462
0.531742,0.045831,0.735740
0.531271,0.045616,0.737009
0.530803,0.045404,0.738270
0.530338,0.045193,0.739522
0.529875,0.044985,0.740764
0.529417,0.044779,0.741996
0.528961,0.044576,0.743219
0.528509,0.044375,0.744431
0.528062,0.044176,0.745632
0.527617,0.043980,0.746822
0.527177,0.043787,0.748001
0.526742,0.043596,0.749168
0.526310,0.043408,0.750324
0.525883,0.043223,0.751467
0.525461,0.043041,0.752598
0.525044,0.042862,0.753716
0.524631,0.042685,0.754821
0.524224,0.042512,0.755912
0.523822,0.042341,0.756990
0.523426,0.042174,0.758055
0.523035,0.042009,0.759105
0.522650,0.041848,0.760141
0.522270,0.041690,0.761163
0.521897,0.041535,0.762169
0.521530,0.041384,0.763161
0.521169,0.041235,0.764138
0.520815,0.041090,0.765100
0.520467,0.040949,0.766046
0.520126,0.040810,0.766976
0.519792,0.040675,0.767890
0.519465,0.040544,0.768789
0.519145,0.040416,0.769671
0.518832,0.040291,0.770537
0.518527,0.040170,0.771386
0.518229,0.040052,0.772219
0.517938,0.039937,0.773034
0.517656,0.039827,0.773833
0.517381,0.039719,0.774615
0.517114,0.039615,0.775379
0.516855,0.039515,0.776127
0.516604,0.039418,0.776856
0.516361,0.039325,0.777569
0.516127,0.039235,0.778263
0.515901,0.039149,0.778940
0.515684,0.039066,0.779599
0.515475,0.038986,0.780240
0.515274,0.038911,0.780864
0.515083,0.038838,0.781469
0.514900,0.038769,0.782056
0.514726,0.038704,0.782625
0.514560,0.038642,0.783176
0.514404,0.038583,0.783709
0.514257,0.038528,0.784223
0.514118,0.038476,0.784719
0.513989,0.038427,0.785197
0.513869,0.038382,0.785656
0.513758,0.038340,0.786097
0.513656,0.038301,0.786520
0.513563,0.038266,0.786924
0.513480,0.038234,0.787310
0.513405,0.038205,0.787678
0.513340,0.038179,0.788027
0.513284,0.038156,0.788358
0.513237,0.038136,0.788670
0.513200,0.038120,0.788964
0.513171,0.038106,0.789240
0.513152,0.038096,0.789498
0.513141,0.038088,0.789737
0.513140,0.038083,0.789959
0.513148,0.038081,0.790162
0.513165,0.038082,0.790347
0.513191,0.038086,0.790514
0.513226,0.038092,0.790663
0.513269,0.038101,0.790795
0.513322,0.038113,0.790908
0.513383,0.038127,0.791004
0.513453,0.038144,0.791082
0.513532,0.038163,0.791143
0.513619,0.038185,0.791186
0.513715,0.038209,0.791212
0.513819,0.038236,0.791221
0.513931,0.038265,0.791213
0.514052,0.038296,0.791187
0.514181,0.038329,0.791145
0.514318,0.038365,0.791086
0.514463,0.038402,0.791010
0.514616,0.038442,0.790917
0.514776,0.038484,0.790809
0.514944,0.038527,0.790684
0.515120,0.038573,0.790542
0.515303,0.038620,0.790385
0.515494,0.038669,0.790212
0.515691,0.038720,0.790023
0.515896,0.038773,0.789819
0.516108,0.038827,0.789599
0.516326,0.038883,0.789364
0.516552,0.038940,0.789114
0.516783,0.038999,0.788849
0.517021,0.039059,0.788570
0.517266,0.039121,0.788275
0.517516,0.039184,0.787967
0.517773,0.039248,0.787644
0.518035,0.039314,0.787307
0.518303,0.039380,0.786956
0.518577,0.039448,0.786592
0.518856,0.039517,0.786215
0.519140,0.039587,0.785824
0.519429,0.039658,0.785420
0.519724,0.039730,0.785003
0.520023,0.039802,0.784573
0.520326,0.039876,0.784132
0.520634,0.039950,0.783678
0.520947,0.040025,0.783212
0.521264,0.040101,0.782734
0.521584,0.040178,0.782244
0.521909,0.040255,0.781744
0.522237,0.040332,0.781232
0.522568,0.040410,0.780709
0.522903,0.040489,0.780176
0.523242,0.040568,0.779632
0.523583,0.040647,0.779078
0.523927,0.040727,0.778514
0.524274,0.040807,0.777940
0.524623,0.040888,0.777357
0.524975,0.040968,0.776764
0.525329,0.041049,0.776163
0.525685,0.041130,0.775552
0.526043,0.041211,0.774933
0.526403,0.041292,0.774306
0.526764,0.041373,0.773671
0.527127,0.041454,0.773028
0.527491,0.041535,0.772378
0.527856,0.041616,0.771720
0.528222,0.041697,0.771055
0.528589,0.041778,0.770383
0.528956,0.041859,0.769705
0.529325,0.041939,0.769020
0.529693,0.042019,0.768330
0.530062,0.042099,0.767633
0.530431,0.042179,0.766931
0.530799,0.042258,0.766224
0.531168,0.042337,0.765512
0.531536,0.042416,0.764795
