X,Y,Z
0.307921,-0.000484,0.475323
0.305340,0.000781,0.473621
0.301088,0.003098,0.472327
0.295933,0.006267,0.471659
0.290379,0.010131,0.471775
0.284778,0.014523,0.472754
0.279370,0.019328,0.474626
0.274318,0.024417,0.477380
0.269734,0.029703,0.480978
0.265693,0.035090,0.485361
0.262241,0.040454,0.490443
0.259390,0.045692,0.496126
0.257120,0.050807,0.502328
0.255398,0.055774,0.508964
0.254184,0.060541,0.515947
0.253605,0.065200,0.523119
0.253548,0.069518,0.530382
0.253911,0.073178,0.537616
0.254666,0.075983,0.544696
0.255809,0.077876,0.551528
0.257345,0.078928,0.558068
0.259282,0.079382,0.564318
0.261605,0.079464,0.570293
0.264280,0.079364,0.576012
0.267293,0.079305,0.581471
0.270594,0.079491,0.586703
0.274127,0.080078,0.591725
0.277854,0.081227,0.596528
0.281652,0.082816,0.601118
0.285436,0.085052,0.605566
0.289139,0.087960,0.609915
0.292756,0.091470,0.614149
0.296231,0.095307,0.618254
0.299586,0.099324,0.622193
0.302866,0.103117,0.625881
0.306069,0.106563,0.629267
0.309157,0.109666,0.632361
0.312116,0.112422,0.635164
0.314897,0.114839,0.637722
0.317470,0.116940,0.640085
0.319869,0.118768,0.642258
0.322127,0.120255,0.644239
0.324284,0.121358,0.646016
0.326373,0.122003,0.647575
0.328425,0.122176,0.648906
0.330451,0.121870,0.650013
0.332468,0.121106,0.650895
0.334483,0.119901,0.651556
0.336485,0.118319,0.652014
0.338455,0.116442,0.652285
0.340379,0.114319,0.652382
0.342274,0.111879,0.652297
0.344144,0.109099,0.652030
0.345988,0.105980,0.651584
0.347802,0.102537,0.650967
0.349576,0.098802,0.650190
0.351301,0.094833,0.649268
0.352972,0.090701,0.648218
0.354583,0.086478,0.647057
0.356117,0.082222,0.645809
0.357568,0.078000,0.644498
0.358976,0.073918,0.643132
0.360342,0.070029,0.641718
0.361652,0.066324,0.640259
0.362894,0.062803,0.638755
0.364061,0.059490,0.637210
0.365149,0.056399,0.635631
0.366145,0.053566,0.634031
0.367013,0.051043,0.632433
0.367684,0.048858,0.630867
0.368104,0.047016,0.629358
0.368251,0.045487,0.627928
0.368134,0.044227,0.626600
0.367779,0.043188,0.625397
0.367262,0.042325,0.624324
0.366644,0.041590,0.623388
0.365985,0.040949,0.622589
0.365317,0.040366,0.621941
0.364679,0.039803,0.621442
0.364092,0.039207,0.621081
0.363544,0.038520,0.620855
0.363060,0.037721,0.620734
0.362656,0.036802,0.620689
0.362331,0.035771,0.620700
0.362073,0.034644,0.620756
0.361863,0.033437,0.620847
0.361670,0.032163,0.620975
0.361461,0.030831,0.621145
0.361213,0.029443,0.621357
0.360910,0.028007,0.621613
0.360552,0.026542,0.621915
0.360150,0.025064,0.622267
0.359718,0.023590,0.622670
0.359264,0.022128,0.623128
0.358790,0.020678,0.623636
0.358298,0.019242,0.624195
0.357787,0.017823,0.624803
0.357257,0.016425,0.625460
0.356702,0.015051,0.626164
0.356121,0.013710,0.626917
0.355512,0.012412,0.627723
0.354875,0.011166,0.628585
