X,Y,Z
0.307921,-0.000484,0.475323
0.305301,0.000833,0.473585
0.301043,0.003345,0.472223
0.295944,0.006890,0.471464
0.290513,0.011320,0.471469
0.285095,0.016464,0.472322
0.279921,0.022198,0.474049
0.275143,0.028381,0.476638
0.270860,0.034916,0.480048
0.267134,0.041703,0.484218
0.263999,0.048672,0.489076
0.261467,0.055762,0.494545
0.259541,0.062928,0.500544
0.258211,0.070134,0.506993
0.257461,0.077354,0.513815
0.257290,0.084580,0.520921
0.257669,0.091774,0.528235
0.258575,0.098927,0.535679
0.259991,0.106055,0.543179
0.261866,0.113092,0.550665
0.264158,0.120009,0.558069
0.266822,0.126814,0.565328
0.269866,0.133725,0.572467
0.273247,0.140662,0.579477
0.277012,0.147554,0.586250
0.281157,0.154410,0.592734
0.285614,0.161107,0.598920
0.290260,0.167540,0.604814
0.295105,0.173722,0.610384
0.300176,0.179663,0.615544
0.305441,0.185395,0.620243
0.310752,0.191130,0.624660
0.316185,0.196755,0.628704
0.321738,0.202265,0.632363
0.327393,0.207742,0.635701
0.333182,0.213194,0.638738
0.339217,0.218607,0.641447
0.345606,0.223894,0.643806
0.352347,0.228922,0.645828
0.359360,0.233657,0.647525
0.366617,0.238050,0.648885
0.374033,0.241993,0.649874
0.381469,0.245409,0.650487
0.388842,0.248325,0.650739
0.396074,0.250772,0.650651
0.403090,0.252776,0.650242
0.409829,0.254363,0.649528
0.416251,0.255560,0.648525
0.422331,0.256388,0.647250
0.428042,0.256863,0.645729
0.433371,0.257000,0.643984
0.438308,0.256812,0.642042
0.442855,0.256317,0.639925
0.447014,0.255532,0.637657
0.450781,0.254501,0.635268
0.454166,0.253231,0.632789
0.457183,0.251738,0.630240
0.459846,0.250037,0.627642
0.462174,0.248144,0.625012
0.464187,0.246072,0.622367
0.465909,0.243837,0.619722
0.467359,0.241450,0.617094
0.468559,0.238925,0.614495
0.469532,0.236275,0.611940
0.470298,0.233513,0.609442
0.470875,0.230651,0.607011
0.471283,0.227699,0.604659
0.471539,0.224669,0.602393
0.471657,0.221562,0.600225
0.471650,0.218380,0.598164
0.471532,0.215130,0.596221
0.471319,0.211823,0.594404
0.471026,0.208467,0.592720
0.470666,0.205073,0.591175
0.470253,0.201651,0.589772
0.469799,0.198209,0.588516
0.469316,0.194756,0.587408
0.468814,0.191296,0.586449
0.468303,0.187838,0.585637
0.467791,0.184385,0.584972
0.467286,0.180943,0.584452
0.466797,0.177516,0.584075
0.466331,0.174108,0.583838
0.465892,0.170721,0.583736
0.465485,0.167356,0.583767
0.465113,0.164016,0.583926
0.464780,0.160699,0.584208
0.464490,0.157408,0.584610
0.464244,0.154141,0.585125
0.464043,0.150898,0.585749
0.463886,0.147678,0.586477
0.463772,0.144478,0.587302
0.463698,0.141297,0.588220
0.463661,0.138130,0.589225
0.463659,0.134977,0.590311
0.463689,0.131835,0.591473
0.463747,0.128700,0.592706
0.463831,0.125571,0.594005
0.463937,0.122445,0.595363
0.464062,0.119320,0.596777
0.464203,0.116193,0.598242
0.464354,0.113062,0.599752
0.464513,0.109927,0.601302
0.464673,0.106784,0.602888
0.464830,0.103633,0.604505
0.464979,0.100471,0.606149
0.465116,0.097298,0.607815
0.465237,0.094113,0.609500
0.465339,0.090915,0.611199
0.465416,0.087705,0.612909
0.465463,0.084482,0.614626
0.465475,0.081247,0.616343
0.465447,0.078001,0.618059
0.465377,0.074744,0.619770
0.465260,0.071479,0.621470
0.465095,0.068206,0.623159
0.464878,0.064929,0.624832
0.464610,0.061649,0.626487
0.464287,0.058368,0.628121
0.463908,0.055088,0.629733
0.463471,0.051812,0.631320
0.462975,0.048541,0.632880
0.462418,0.045278,0.634410
0.461799,0.042027,0.635908
0.461116,0.038790,0.637373
0.460369,0.035570,0.638801
0.459558,0.032371,0.640192
0.458683,0.029195,0.641542
0.457748,0.026048,0.642853
0.456751,0.022931,0.644121
0.455695,0.019847,0.645348
0.454580,0.016798,0.646532
0.453410,0.013788,0.647674
0.452187,0.010820,0.648771
0.450916,0.007899,0.649825
0.449600,0.005027,0.650835
0.448242,0.002209,0.651801
0.446844,-0.000554,0.652725
0.445410,-0.003257,0.653606
0.443941,-0.005899,0.654445
0.442441,-0.008476,0.655243
0.440912,-0.010986,0.655998
0.439356,-0.013424,0.656713
0.437776,-0.015790,0.657388
0.436174,-0.018082,0.658023
0.434551,-0.020297,0.658622
0.432909,-0.022437,0.659187
0.431252,-0.024500,0.659722
0.429584,-0.026485,0.660232
0.427909,-0.028391,0.660720
0.426231,-0.030216,0.661191
0.424555,-0.031960,0.661647
0.422886,-0.033622,0.662092
0.421227,-0.035201,0.662529
0.419584,-0.036696,0.662961
0.417963,-0.038103,0.663391
0.416369,-0.039417,0.663821
0.414809,-0.040633,0.664255
0.413288,-0.041749,0.664694
0.411808,-0.042764,0.665143
0.410375,-0.043676,0.665604
0.408990,-0.044485,0.666078
0.407656,-0.045189,0.666569
0.406375,-0.045790,0.667077
0.405148,-0.046288,0.667606
0.403976,-0.046686,0.668156
0.402858,-0.046984,0.668730
